N,4mC_A.thaliana,4mC_C.elegans,4mC_D.melanogaster,4mC_E.coli,4mC_G.subterraneus,4mC_G.pickeringii,4mC_A.thaliana2,4mC_C.elegans2,4mC_C.equisetifolia,4mC_D.melanogaster2,4mC_E.coli2,4mC_F.vesca,4mC_G.pickeringii2,4mC_G.subterraneus2,4mC_S.cerevisiae,4mC_Tolypocladium
1,0.8659792803045168,0.9205153535852474,0.9154285714285715,0.971875,0.824971201843082,0.8849948078920041,0.8270982577164588,0.8899512560929884,0.7950819672131147,0.9178881650380022,0.9126984126984127,0.8245758419853128,0.8334710743801653,0.7427322819684591,0.7032355915065723,0.7132324155030667
2,0.8615057096888121,0.9151642380834774,0.9119285714285714,0.95625,0.8217714066299757,0.8883696780893042,0.8267444945608915,0.8967004124484439,0.8278688524590164,0.9158523344191096,0.9087301587301587,0.8233096986578881,0.8206611570247934,0.7552726581797454,0.7017189079878665,0.7121231893514289
3,0.8618294549307381,0.9233143986169424,0.9148928571428572,0.959375,0.8406501983873033,0.8881100726895119,0.8300610241443354,0.8982002249718786,0.7923497267759563,0.9131378935939196,0.8809523809523809,0.8188148898455305,0.8235537190082645,0.7451073532205966,0.6850353892821032,0.7121884379485841
4,0.8615645724600715,0.9161109739030213,0.9144285714285715,0.959375,0.8389223089722257,0.9101765316718587,0.8288228530998496,0.897262842144732,0.7841530054644809,0.9134093376764386,0.8809523809523809,0.8256520638136237,0.8355371900826446,0.7527075812274369,0.7098078867542973,0.7123189351428945
5,0.8699917592120237,0.9237671853132461,0.9192321428571428,0.959375,0.8371944195571484,0.8997923156801662,0.8297957017776598,0.8952005999250093,0.8114754098360656,0.9170738327904452,0.8809523809523809,0.820017726006584,0.8404958677685951,0.7471974159224777,0.6931243680485338,0.7203445125929793
6,0.8735627673350861,0.9228616119206389,0.9196607142857143,0.9625,0.8393062843977985,0.9075804776739356,0.8236048465552313,0.8925759280089989,0.8387978142076503,0.9079804560260586,0.873015873015873,0.8232463914915168,0.8161157024793388,0.7496674900247008,0.6971688574317493,0.7132976641002219
7,0.8693442687281717,0.9250432205482835,0.9205178571428572,0.9625,0.8364264687060028,0.9047248182762202,0.8251083399663925,0.9011998500187477,0.8224043715846995,0.9066232356134636,0.8809523809523809,0.8245758419853128,0.821900826446281,0.7483374501235037,0.6900910010111223,0.7198877724128931
8,0.8687262096299494,0.9271013418951182,0.9198392857142857,0.95625,0.8437220017918853,0.9093977154724818,0.8182541788272751,0.8854518185226846,0.819672131147541,0.9033659066232356,0.8888888888888888,0.8226133198278045,0.806198347107438,0.7471974159224777,0.6966632962588474,0.7238679368393579
9,0.8662637836989365,0.9274718037375483,0.9194285714285715,0.9375,0.8493536413669525,0.9109553478712358,0.8177235340939241,0.8802024746906637,0.819672131147541,0.9048588490770901,0.8492063492063492,0.8216004051658647,0.8078512396694215,0.7376971309139274,0.7052578361981799,0.7133629126973771
10,0.8704724718439744,0.9194039680579567,0.9194107142857143,0.95625,0.8505055676436708,0.907840083073728,0.8239586097107986,0.8848893888263967,0.8224043715846995,0.9060803474484256,0.8690476190476191,0.8169156748543935,0.802892561983471,0.7391221736652099,0.69211324570273,0.7001174474748793
11,0.8722089235961229,0.921503251831728,0.91775,0.971875,0.8484576987072827,0.9117341640706127,0.8190501459273016,0.8848893888263967,0.825136612021858,0.9063517915309446,0.8690476190476191,0.816789060521651,0.7925619834710744,0.7380771423142695,0.6996966632962589,0.7089260080908261
12,0.8719047992779501,0.9237260228863093,0.9153214285714286,0.946875,0.8534493792397286,0.9039460020768432,0.8219244715662863,0.8785151856017998,0.7868852459016393,0.8997014115092291,0.873015873015873,0.8150164598632565,0.7962809917355372,0.7355120653619609,0.6643073811931244,0.7001826960720344
13,0.8708452693952832,0.9259487939408908,0.9185,0.9375,0.8529374120056317,0.9080996884735203,0.8218802511718405,0.8824521934758155,0.8032786885245902,0.9111020629750272,0.8888888888888888,0.8107748797163838,0.8008264462809918,0.7345620368611059,0.6850353892821032,0.697964243768759
14,0.8675783855903936,0.9211327899892978,0.9165714285714286,0.95625,0.8499296045053116,0.8992731048805815,0.8203767577606792,0.8777652793400825,0.8005464480874317,0.9039087947882736,0.8690476190476191,0.814320081033173,0.7942148760330578,0.7371271138134144,0.6840242669362993,0.7148636304319457
best_n,6,9,7,1,12,11,3,7,6,1,1,4,5,2,4,8
